sgRNA,Indel_Rate,Group,TL_32_37_Pair_Persist,SL1_54_60_Pair_Persist,SL2_71_76_Pair_Persist,SL3_88_90_Pair_Persist,TL_32_37_Stack_Persist,SL1_54_60_Stack_Persist,SL2_71_76_Stack_Persist,SL3_88_90_Stack_Persist
sgRNA_10,79.08452233,High,2,1,1,0,2,0,1,0
sgRNA_5,81.58939227,High,1,1,3,0,1,1,2,0
sgRNA_11,78.83869957,High,0,4,2,0,0,4,1,0
sgRNA_8,80.10967749,High,2,0,3,0,2,0,0,0
sgRNA_6,80.82584968,High,0,5,0,0,0,4,0,0
sgRNA_7,80.41990317,High,4,1,0,0,2,0,0,0
sgRNA_9,79.55045299,High,0,0,5,0,0,0,5,0
sgRNA_4,82.1773221,High,0,4,0,1,0,3,0,0
sgRNA_13,78.67165575,High,0,5,4,0,0,4,4,0
sgRNA_2,88.59146225,High,0,5,0,0,0,5,0,0
sgRNA_12,78.71983702,High,0,0,1,0,0,0,0,0
sgRNA_1,90.15854518,High,0,5,4,0,0,4,3,0
sgRNA_3,83.12284718,High,1,4,4,0,0,1,3,0
sgRNA_14,78.453126,High,1,0,1,0,2,0,0,0
sgRNA_136,6.254023729,Low,0,5,3,0,0,3,1,0
sgRNA_130,9.578258628,Low,0,5,2,0,0,3,2,0
sgRNA_141,1.362727156,Low,2,1,1,0,2,1,0,0
sgRNA_138,3.589981084,Low,0,5,5,0,0,2,5,0
sgRNA_135,6.369607418,Low,0,4,1,0,0,1,1,0
sgRNA_139,2.868082476,Low,1,0,0,0,0,0,0,0
sgRNA_134,7.130583099,Low,0,0,1,0,0,0,0,0
sgRNA_131,7.731481481,Low,2,0,0,0,1,0,0,0
sgRNA_140,2.04848071,Low,0,3,4,0,0,1,0,0
sgRNA_133,7.600434311,Low,2,2,0,0,1,2,1,0
sgRNA_132,7.670182167,Low,0,0,1,0,1,0,1,0
sgRNA_137,5.53731902,Low,3,0,0,0,4,0,0,0
