sgRNA_ID,True_OffTarget_Matches,High_Risk_Sites_Count,Max_True_OffTarget_Score,Cumulative_OffTarget_Risk
sgRNA_118,468,56,0.7200000002169231,1.0
sgRNA_104,289,68,0.49999999962142855,1.0
sgRNA_114,347,51,0.6525490201443137,1.0
sgRNA_116,1084,90,0.6875,1.0
sgRNA_78,354,67,0.772058823375,1.0
sgRNA_97,382,66,0.7418478262173914,1.0
sgRNA_148,5179,386,0.9285714290000001,1.0
sgRNA_150,1922,282,0.7142857140000001,1.0
sgRNA_30,539,47,0.6999999997499999,1.0
sgRNA_3,414,65,1.0,1.0
sgRNA_36,225,81,0.7218045110225564,1.0
sgRNA_33,371,63,0.7142857140000001,1.0
sgRNA_145,6395,630,0.933333333,1.0
sgRNA_143,1820,275,0.8439897695370844,1.0
sgRNA_135,337,40,0.6554621854632353,1.0
sgRNA_146,273650,113758,1.0,1.0
sgRNA_147,412,37,0.7944996186638656,1.0
sgRNA_132,243,64,0.6844444443388035,1.0
sgRNA_127,1263,140,0.692307692,1.0
sgRNA_130,421,87,0.7538461535141026,1.0
sgRNA_124,432,72,0.7342657341311191,1.0
sgRNA_119,2534,29,0.5647058825999999,1.0
sgRNA_91,220,55,0.5803571431250001,1.0
sgRNA_70,939,335,0.6737967910010696,1.0
sgRNA_89,473,80,0.8666666670000001,1.0
sgRNA_18,242,61,0.9,0.9999999999999999
sgRNA_5,212,46,0.8649885580572082,0.9999999999999999
sgRNA_149,224,47,0.8927536227478261,0.9999999999999999
sgRNA_22,281,43,0.7819548874323309,0.9999999999999998
sgRNA_35,274,48,0.7552749356945332,0.9999999999999996
sgRNA_88,246,54,0.5259740260266234,0.9999999999999994
sgRNA_47,290,46,0.7269230766028847,0.9999999999999992
sgRNA_10,241,42,0.7242857148985715,0.9999999999999987
sgRNA_1,258,40,0.7200000000000001,0.9999999999999925
sgRNA_142,238,51,0.5357142854553572,0.9999999999999909
sgRNA_67,326,31,0.8000000002410257,0.9999999999999909
sgRNA_46,178,47,0.6272977939921874,0.9999999999999908
sgRNA_40,228,44,0.5133333331,0.9999999999999907
sgRNA_85,233,43,0.5460000002100001,0.9999999999999873
sgRNA_38,358,41,0.5147474744674748,0.9999999999999764
sgRNA_102,289,34,0.78399999972,0.9999999999999684
sgRNA_128,178,38,0.857142857,0.9999999999999523
sgRNA_55,307,37,0.6632653061632654,0.9999999999999059
sgRNA_26,228,44,0.5999999997959707,0.9999999999998059
sgRNA_107,209,42,0.6035714290318454,0.9999999999997581
sgRNA_99,215,44,0.666666667,0.999999999999694
sgRNA_59,175,28,0.64144736825,0.9999999999996642
sgRNA_87,264,26,0.692307692,0.9999999999953108
sgRNA_12,235,30,0.5086956522375,0.9999999999948133
sgRNA_52,224,27,0.5223214286875,0.9999999999917746
sgRNA_24,196,34,0.7272727272000001,0.9999999999884618
sgRNA_8,206,32,0.875,0.999999999976927
sgRNA_28,141,33,0.5515151515204546,0.9999999999001623
sgRNA_15,193,21,0.5380434781875,0.9999999998124278
sgRNA_56,149,27,0.7428571432000002,0.9999999997706718
sgRNA_76,232,29,0.45818181792,0.9999999996760566
sgRNA_133,266,22,0.56249999990625,0.9999999995194556
sgRNA_14,152,33,0.6408963592495799,0.9999999993653911
sgRNA_103,137,36,0.5333333336,0.9999999990018671
sgRNA_60,141,26,0.611764705997199,0.9999999989445114
sgRNA_2,160,30,0.5365079366730159,0.9999999989361275
sgRNA_17,195,22,0.48979591791836735,0.999999998018551
sgRNA_48,144,34,0.5892857141875,0.9999999979803206
sgRNA_79,95,27,0.692307692,0.999999997957615
sgRNA_86,160,20,0.65000000025,0.9999999962007476
sgRNA_50,152,27,0.53441295538692,0.9999999953890971
sgRNA_16,171,20,0.5051020411122448,0.999999995207612
sgRNA_75,229,21,0.6136363635750001,0.9999999915707858
sgRNA_77,199,15,0.6438095241974604,0.9999999894998377
sgRNA_61,153,21,0.7081939794548495,0.9999999781257471
sgRNA_120,136,23,0.6250000001647728,0.9999999744901678
sgRNA_100,88,29,0.5200000001688889,0.9999999678849952
sgRNA_141,136,23,0.65000000025,0.9999999605562688
sgRNA_136,134,16,0.5238095242619047,0.9999999486867387
sgRNA_112,142,21,0.7688787181716247,0.9999999334684576
sgRNA_95,155,17,0.6588235296999999,0.99999986655269
sgRNA_63,101,23,0.7642636003414417,0.9999998504339552
sgRNA_115,116,22,0.5394605391458543,0.9999996043137389
sgRNA_53,100,26,0.4761904762380953,0.9999995800226947
sgRNA_45,168,11,0.6093749998984376,0.9999995166457567
sgRNA_93,125,16,0.8359133124798761,0.9999994213979269
sgRNA_73,101,23,0.4414715718706801,0.999999413315818
sgRNA_68,98,23,0.5294117646617648,0.9999992512475251
sgRNA_94,113,21,0.7058823532499999,0.999999166944727
sgRNA_11,92,19,0.6529017860156251,0.9999991009901884
sgRNA_140,76,22,0.533203125,0.9999978475690269
sgRNA_139,145,22,0.618925831567775,0.9999977672505134
sgRNA_27,99,20,0.5727272724,0.9999975916423199
sgRNA_126,125,11,0.5249999999999999,0.9999971167525271
sgRNA_7,130,14,0.529666412157372,0.9999969412940887
sgRNA_34,115,13,0.5142857142,0.999995506878395
sgRNA_29,153,11,0.4791481809249013,0.9999946851254315
sgRNA_49,74,21,0.57421875,0.9999927490874854
sgRNA_4,55,15,0.7142857140000001,0.9999909867188452
sgRNA_74,103,12,0.53903743318877,0.9999778836598545
sgRNA_105,107,16,0.423076923,0.9999712544525686
sgRNA_43,124,17,0.4730406176875357,0.9999711765934839
sgRNA_23,64,14,0.6363636363,0.9999644381006988
sgRNA_98,64,17,0.4078431376372549,0.9999584062289084
sgRNA_90,106,12,0.5113636363125,0.9999534233181404
sgRNA_25,87,14,0.4588235293678991,0.9999517882815455
sgRNA_144,58,9,0.7222222220000001,0.9999275185566847
sgRNA_39,94,10,0.3605042021092438,0.9999106685152082
sgRNA_84,74,16,0.4771597628913609,0.9998899285742413
sgRNA_81,51,10,0.7529411770268476,0.9998661091751156
sgRNA_71,87,9,0.45563725448455883,0.9997773142565587
sgRNA_125,65,11,0.603571429082143,0.9997769644486034
sgRNA_101,48,10,0.6500000003,0.9997746854083989
sgRNA_108,49,14,0.42613636359375007,0.9997007337241242
sgRNA_54,68,9,0.573913043099379,0.9996598662686834
sgRNA_113,48,11,0.6293706292552448,0.9993621303982618
sgRNA_117,52,9,0.6373063975052932,0.999077200337789
sgRNA_37,61,8,0.5133689839893048,0.9990212881035663
sgRNA_41,75,5,0.32967032955677655,0.9983102044036865
sgRNA_42,34,5,0.9411764709999999,0.9973715228920418
sgRNA_111,49,4,0.705882353,0.997258681686138
sgRNA_65,62,6,0.5389030617219389,0.9964202554784357
sgRNA_122,28,4,0.6753246754043292,0.9963788283450834
sgRNA_138,64,5,0.6190476189999999,0.9960489713089187
sgRNA_109,46,6,0.396634615136218,0.9922991406454662
sgRNA_62,49,5,0.519957983002626,0.9919535623296697
sgRNA_32,46,6,0.3385416669921875,0.9918518021203347
sgRNA_31,37,6,0.2857142857564627,0.9912594209222105
sgRNA_110,49,4,0.4800191815602222,0.9906871459023592
sgRNA_51,41,6,0.4235294118,0.9901160137355726
sgRNA_82,46,6,0.4681547621699405,0.9887323751340295
sgRNA_80,53,6,0.518607442847539,0.9885872032140246
sgRNA_13,34,6,0.38911564625782313,0.9823107121462182
sgRNA_129,49,3,0.3972222222402777,0.9818398226572542
sgRNA_20,34,4,0.3475355055121136,0.9816125584211475
sgRNA_69,31,4,0.5965909090369318,0.9814050885021804
sgRNA_96,60,3,0.4662480379109104,0.9782939448466537
sgRNA_92,29,1,0.8125,0.9775105726944617
sgRNA_64,72,0,0.1980952381902041,0.9737568911769933
sgRNA_72,27,4,0.5352941174,0.97254245075193
sgRNA_123,65,2,0.2363636364901876,0.9690549252833199
sgRNA_6,40,2,0.315000000315,0.9690331305679614
sgRNA_19,34,2,0.5376838235742188,0.9653536593498085
sgRNA_44,37,4,0.30117647038529977,0.9538840517360978
sgRNA_9,25,3,0.4518402777461806,0.9495148960339567
sgRNA_66,59,4,0.3461538457186813,0.9477381995702611
sgRNA_21,36,3,0.3230769234,0.938452551317737
sgRNA_83,32,1,0.26541666676145836,0.9327130045624897
sgRNA_131,47,4,0.40444444440888894,0.9163743925915728
sgRNA_134,14,3,0.5147058825073528,0.8779954447453855
sgRNA_121,33,0,0.19151785723125003,0.831304362997768
sgRNA_57,11,3,0.34821428557500006,0.691149086555497
sgRNA_106,10,1,0.36263736234981686,0.5553001756526209
sgRNA_137,19,1,0.28125,0.5283594634633528
sgRNA_58,32,0,0.13032581467969928,0.5244068176659816
