sgRNA_ID,Total_Genomic_Matches,High_Risk_Sites_Count,Max_Single_OffTarget_Score,Cumulative_OffTarget_Risk
sgRNA_1,259,129,1.0,1.0
sgRNA_10,242,145,1.0,1.0
sgRNA_100,89,48,1.0,1.0
sgRNA_101,49,33,1.0,1.0
sgRNA_102,290,192,1.0,1.0
sgRNA_103,138,119,1.0,1.0
sgRNA_104,289,119,1.0,1.0
sgRNA_105,108,65,1.0,1.0
sgRNA_106,11,5,1.0,1.0
sgRNA_107,210,121,1.0,1.0
sgRNA_108,50,41,1.0,1.0
sgRNA_109,47,28,1.0,1.0
sgRNA_11,93,58,1.0,1.0
sgRNA_110,50,32,1.0,1.0
sgRNA_111,50,29,1.0,1.0
sgRNA_112,143,89,1.0,1.0
sgRNA_113,49,23,1.0,1.0
sgRNA_114,347,252,1.0,1.0
sgRNA_115,116,79,1.0,1.0
sgRNA_116,1085,935,1.0,1.0
sgRNA_117,53,33,1.0,1.0
sgRNA_118,469,302,1.0,1.0
sgRNA_119,2535,115,1.0,1.0
sgRNA_12,236,124,1.0,1.0
sgRNA_120,137,91,1.0,1.0
sgRNA_121,34,17,1.0,1.0
sgRNA_122,29,18,1.0,1.0
sgRNA_123,66,29,1.0,1.0
sgRNA_124,433,259,1.0,1.0
sgRNA_125,66,34,1.0,1.0
sgRNA_126,126,73,1.0,1.0
sgRNA_127,1264,971,1.0,1.0
sgRNA_128,186,114,1.0,1.0
sgRNA_129,50,26,1.0,1.0
sgRNA_13,35,23,1.0,1.0
sgRNA_130,422,190,1.0,1.0
sgRNA_131,48,26,1.0,1.0
sgRNA_132,244,100,1.0,1.0
sgRNA_133,267,208,1.0,1.0
sgRNA_134,15,8,1.0,1.0
sgRNA_135,338,173,1.0,1.0
sgRNA_136,135,79,1.0,1.0
sgRNA_137,19,7,1.0,1.0
sgRNA_138,65,56,1.0,1.0
sgRNA_139,146,72,1.0,1.0
sgRNA_14,153,98,1.0,1.0
sgRNA_140,77,44,1.0,1.0
sgRNA_141,136,70,1.0,1.0
sgRNA_142,239,166,1.0,1.0
sgRNA_143,1821,1153,1.0,1.0
sgRNA_144,59,34,1.0,1.0
sgRNA_145,6401,5391,1.0,1.0
sgRNA_146,322177,198405,1.0,1.0
sgRNA_147,413,369,1.0,1.0
sgRNA_148,5180,2443,1.0,1.0
sgRNA_149,225,121,1.0,1.0
sgRNA_15,194,121,1.0,1.0
sgRNA_150,1923,1280,1.0,1.0
sgRNA_16,172,103,1.0,1.0
sgRNA_17,196,116,1.0,1.0
sgRNA_18,243,159,1.0,1.0
sgRNA_19,35,26,1.0,1.0
sgRNA_2,163,135,1.0,1.0
sgRNA_20,37,26,1.0,1.0
sgRNA_21,37,23,1.0,1.0
sgRNA_22,282,120,1.0,1.0
sgRNA_23,64,31,1.0,1.0
sgRNA_24,197,121,1.0,1.0
sgRNA_25,88,38,1.0,1.0
sgRNA_26,229,143,1.0,1.0
sgRNA_27,100,51,1.0,1.0
sgRNA_28,142,78,1.0,1.0
sgRNA_29,154,72,1.0,1.0
sgRNA_3,414,190,1.0,1.0
sgRNA_30,539,312,1.0,1.0
sgRNA_31,38,29,1.0,1.0
sgRNA_32,47,26,1.0,1.0
sgRNA_33,372,223,1.0,1.0
sgRNA_34,115,74,1.0,1.0
sgRNA_35,275,169,1.0,1.0
sgRNA_36,225,126,1.0,1.0
sgRNA_37,62,32,1.0,1.0
sgRNA_38,359,116,1.0,1.0
sgRNA_39,95,63,1.0,1.0
sgRNA_4,56,33,1.0,1.0
sgRNA_40,229,153,1.0,1.0
sgRNA_41,76,61,1.0,1.0
sgRNA_42,35,23,1.0,1.0
sgRNA_43,125,84,1.0,1.0
sgRNA_44,38,28,1.0,1.0
sgRNA_45,169,100,1.0,1.0
sgRNA_46,179,105,1.0,1.0
sgRNA_47,291,244,1.0,1.0
sgRNA_48,145,85,1.0,1.0
sgRNA_49,75,47,1.0,1.0
sgRNA_5,212,131,1.0,1.0
sgRNA_50,153,89,1.0,1.0
sgRNA_51,42,31,1.0,1.0
sgRNA_52,225,119,1.0,1.0
sgRNA_53,101,66,1.0,1.0
sgRNA_54,69,45,1.0,1.0
sgRNA_55,307,194,1.0,1.0
sgRNA_56,150,90,1.0,1.0
sgRNA_57,12,6,1.0,1.0
sgRNA_58,33,19,1.0,1.0
sgRNA_59,176,149,1.0,1.0
sgRNA_6,41,24,1.0,1.0
sgRNA_60,142,90,1.0,1.0
sgRNA_61,154,100,1.0,1.0
sgRNA_62,50,26,1.0,1.0
sgRNA_63,101,80,1.0,1.0
sgRNA_64,73,33,1.0,1.0
sgRNA_65,63,40,1.0,1.0
sgRNA_66,60,30,1.0,1.0
sgRNA_67,327,186,1.0,1.0
sgRNA_68,99,63,1.0,1.0
sgRNA_69,32,18,1.0,1.0
sgRNA_7,131,82,1.0,1.0
sgRNA_70,940,443,1.0,1.0
sgRNA_71,88,44,1.0,1.0
sgRNA_72,28,20,1.0,1.0
sgRNA_73,102,72,1.0,1.0
sgRNA_74,104,71,1.0,1.0
sgRNA_75,230,146,1.0,1.0
sgRNA_76,233,128,1.0,1.0
sgRNA_77,200,100,1.0,1.0
sgRNA_78,355,225,1.0,1.0
sgRNA_79,95,76,1.0,1.0
sgRNA_8,206,107,1.0,1.0
sgRNA_80,54,37,1.0,1.0
sgRNA_81,57,31,1.0,1.0
sgRNA_82,47,16,1.0,1.0
sgRNA_83,33,24,1.0,1.0
sgRNA_84,75,53,1.0,1.0
sgRNA_85,234,161,1.0,1.0
sgRNA_86,161,129,1.0,1.0
sgRNA_87,265,126,1.0,1.0
sgRNA_88,247,179,1.0,1.0
sgRNA_89,474,269,1.0,1.0
sgRNA_9,26,22,1.0,1.0
sgRNA_90,107,62,1.0,1.0
sgRNA_91,221,128,1.0,1.0
sgRNA_92,30,17,1.0,1.0
sgRNA_93,126,90,1.0,1.0
sgRNA_94,114,53,1.0,1.0
sgRNA_95,156,105,1.0,1.0
sgRNA_96,61,42,1.0,1.0
sgRNA_97,383,197,1.0,1.0
sgRNA_98,65,43,1.0,1.0
sgRNA_99,216,131,1.0,1.0
