sgRNA,Indel_Rate,Mean_Scaffold_RMSD,Max_Scaffold_RMSD,Ensemble_RMSD_Fluctuation
sgRNA_35,72.95013286,29.806237290504505,36.89569896810533,5.374979675622787
sgRNA_136,6.254023729,23.2611459754332,27.83963611194478,6.607826317030155
sgRNA_101,26.66894198,23.155277721844715,25.765678469528016,1.9346745827592584
sgRNA_111,17.4819567,15.053098726086056,29.515224093024475,9.245811014499294
sgRNA_10,79.08452233,35.8128802457711,40.287773686593134,3.502561378908408
sgRNA_5,81.58939227,25.01136126352281,34.45867792307168,7.237088480259437
sgRNA_97,28.65644185,24.95804072752758,32.4478806592283,5.949220059912878
sgRNA_96,29.37408669,24.68513643887848,33.13677789260119,7.284853086102252
sgRNA_15,77.79878971,33.05421741390455,36.04749982787247,1.9201346226017395
sgRNA_42,72.03775837,23.839959470702286,38.208602063428216,11.93598866782373
sgRNA_57,58.81454771,24.185101565378584,31.99583034840133,7.623349047284305
sgRNA_59,58.03415119,22.22047131711528,27.946888014476897,5.107305220124124
sgRNA_130,9.578258628,24.23331986786516,33.26721139083812,7.204177531554755
sgRNA_67,51.23756764,34.678872435660736,39.95020915250908,5.70568600142062
sgRNA_69,50.75100766,17.389117248214117,32.74544090206225,9.721979733484048
sgRNA_141,1.362727156,34.03927942907439,37.98477580080517,2.925912076696639
sgRNA_124,12.12050234,36.527929774053,38.683268571558855,1.8464699987229696
sgRNA_19,77.30496454,27.13536171052601,37.68665970434661,8.090563381663632
sgRNA_90,39.66979025,25.14768286501772,30.7874923603812,4.819450677897137
sgRNA_115,15.10353228,23.631009441029487,33.76194035704501,7.6167648248059985
sgRNA_34,73.1708516,26.49033906787329,34.622134482748194,8.460913562192184
sgRNA_43,71.11917949,41.68671558941549,44.050832421846046,2.5836107506645694
sgRNA_11,78.83869957,24.56806070722781,34.442813931313,7.858014727258795
sgRNA_18,77.36477171,32.775517038857295,42.663222665474485,6.357486026947758
sgRNA_103,24.95661458,25.7565410616822,36.06236925404844,7.177571455917645
sgRNA_98,27.7579518,21.38863187684759,30.847057367756577,8.529859838460485
sgRNA_121,12.98864328,15.452638309342236,30.38388257814353,9.137388746262545
sgRNA_46,68.05869074,36.65339406439694,39.60354303215479,2.233564394454445
sgRNA_48,65.13551929,37.23823799267355,41.16518480571504,2.670452973329441
sgRNA_8,80.10967749,31.44258601359157,39.64961441068191,6.291722543288281
sgRNA_88,40.312957,26.22077804960174,37.07399558440802,6.173756271462347
sgRNA_143,0.868428245,35.27285368834398,39.02660415767991,2.799314709749776
sgRNA_105,20.48611111,13.465509969082865,22.421704998040223,4.706457253738065
sgRNA_84,43.86984081,19.79197078870145,31.844399243660646,8.067610179559187
sgRNA_118,13.304852,32.4087048983277,33.5492866785683,0.9900864786778087
sgRNA_28,74.29110059,35.794767885922866,37.246770934818,1.9357648481083172
sgRNA_87,40.95525666,13.421494862568892,21.29924404990281,4.972183741618597
sgRNA_93,35.54343831,35.82614729144704,38.61136016420198,1.9343686730187968
sgRNA_120,13.05814502,26.645884161485437,35.013736330442114,6.263941018513106
sgRNA_138,3.589981084,11.579547285506653,20.35202527863834,4.70066703554079
sgRNA_100,27.15019781,36.0745976143104,38.20850063274536,2.050824751095861
