sgRNA,TL_37_42,SL1_64_70,SL2_82_87,SL3_98_100,Rank
0000_sgRNA_1,0,1,0,0,rank01
0000_sgRNA_1,0,0,0,0,rank02
0000_sgRNA_1,0,0,0,0,rank03
0000_sgRNA_1,0,0,0,0,rank04
0000_sgRNA_1,0,0,0,0,rank05
0001_sgRNA_2,0,0,0,0,rank01
0001_sgRNA_2,0,0,0,0,rank02
0001_sgRNA_2,0,0,0,0,rank03
0001_sgRNA_2,0,0,0,0,rank04
0001_sgRNA_2,0,0,0,0,rank05
0002_sgRNA_3,0,0,0,0,rank01
0002_sgRNA_3,0,0,0,0,rank02
0002_sgRNA_3,0,1,0,0,rank03
0002_sgRNA_3,0,1,0,0,rank04
0002_sgRNA_3,0,0,0,0,rank05
0003_sgRNA_4,1,0,0,0,rank01
0003_sgRNA_4,1,0,0,0,rank02
0003_sgRNA_4,1,0,0,0,rank03
0003_sgRNA_4,0,0,0,0,rank04
0003_sgRNA_4,0,0,0,0,rank05
0004_sgRNA_5,1,0,0,0,rank01
0004_sgRNA_5,1,0,0,0,rank02
0004_sgRNA_5,1,0,0,0,rank03
0004_sgRNA_5,1,0,0,0,rank04
0004_sgRNA_5,0,0,0,0,rank05
0005_sgRNA_137,0,0,0,0,rank01
0005_sgRNA_137,0,0,0,0,rank02
0005_sgRNA_137,0,0,0,0,rank03
0005_sgRNA_137,0,0,0,0,rank04
0005_sgRNA_137,0,0,0,0,rank05
0006_sgRNA_138,0,1,1,0,rank01
0006_sgRNA_138,0,1,1,0,rank02
0006_sgRNA_138,0,1,1,0,rank03
0006_sgRNA_138,0,0,0,0,rank04
0006_sgRNA_138,0,0,0,0,rank05
0007_sgRNA_139,0,0,0,0,rank01
0007_sgRNA_139,0,0,0,0,rank02
0007_sgRNA_139,0,0,0,0,rank03
0007_sgRNA_139,0,0,0,0,rank04
0007_sgRNA_139,0,0,0,0,rank05
0008_sgRNA_140,0,0,0,0,rank01
0008_sgRNA_140,0,0,0,0,rank02
0008_sgRNA_140,0,0,0,0,rank03
0008_sgRNA_140,0,0,0,0,rank04
0008_sgRNA_140,0,0,0,0,rank05
0009_sgRNA_141,1,0,0,0,rank01
0009_sgRNA_141,1,0,0,0,rank02
0009_sgRNA_141,1,0,0,0,rank03
0009_sgRNA_141,0,0,0,0,rank04
0009_sgRNA_141,0,0,0,0,rank05
