sgRNA,Indel_Rate
sgRNA_35,72.95013286
sgRNA_136,6.254023729
sgRNA_101,26.66894198
sgRNA_111,17.4819567
sgRNA_10,79.08452233
sgRNA_5,81.58939227
sgRNA_97,28.65644185
sgRNA_96,29.37408669
sgRNA_15,77.79878971
sgRNA_42,72.03775837
sgRNA_57,58.81454771
sgRNA_59,58.03415119
sgRNA_130,9.578258628
sgRNA_67,51.23756764
sgRNA_69,50.75100766
sgRNA_141,1.362727156
sgRNA_124,12.12050234
sgRNA_19,77.30496454
sgRNA_90,39.66979025
sgRNA_115,15.10353228
sgRNA_34,73.1708516
sgRNA_43,71.11917949
sgRNA_11,78.83869957
sgRNA_18,77.36477171
sgRNA_103,24.95661458
sgRNA_98,27.7579518
sgRNA_121,12.98864328
sgRNA_46,68.05869074
sgRNA_48,65.13551929
sgRNA_8,80.10967749
sgRNA_88,40.312957
sgRNA_143,0.868428245
sgRNA_105,20.48611111
sgRNA_84,43.86984081
sgRNA_118,13.304852
sgRNA_28,74.29110059
sgRNA_87,40.95525666
sgRNA_93,35.54343831
sgRNA_120,13.05814502
sgRNA_138,3.589981084
sgRNA_100,27.15019781
sgRNA_102,26.54594023
sgRNA_45,70.40101515
sgRNA_74,48.98580022
sgRNA_80,47.56828781
sgRNA_6,80.82584968
sgRNA_72,49.24055928
sgRNA_24,75.64290448
sgRNA_113,16.8951698
sgRNA_27,74.83817725
sgRNA_78,48.03212837
sgRNA_128,10.33539005
sgRNA_22,75.92480291
sgRNA_39,72.20550723
sgRNA_65,54.08968701
sgRNA_23,75.90082749
sgRNA_55,59.92324815
sgRNA_71,49.5373203
sgRNA_107,19.98277245
sgRNA_76,48.36430486
sgRNA_7,80.41990317
sgRNA_9,79.55045299
sgRNA_116,14.60280374
sgRNA_4,82.1773221
sgRNA_112,17.10280194
sgRNA_44,70.88069156
sgRNA_117,14.49360865
sgRNA_106,20.0829496
sgRNA_146,0.228219442
sgRNA_125,11.70228337
sgRNA_83,45.55876192
sgRNA_95,30.46450092
sgRNA_135,6.369607418
sgRNA_31,73.78683695
sgRNA_36,72.5697061
sgRNA_41,72.06744497
sgRNA_13,78.67165575
sgRNA_85,42.04692971
sgRNA_129,10.0
sgRNA_104,23.88601361
sgRNA_63,55.38053097
sgRNA_16,77.57464424
sgRNA_108,19.83393984
sgRNA_56,59.27050765
sgRNA_150,-0.220296572
sgRNA_81,47.46587165
sgRNA_40,72.13553295
sgRNA_54,60.37710805
sgRNA_122,12.40030384
sgRNA_99,27.40170486
sgRNA_139,2.868082476
sgRNA_25,75.54410053
sgRNA_82,46.90551015
sgRNA_110,18.98903618
sgRNA_145,0.264034599
sgRNA_51,64.10457782
sgRNA_142,0.878795861
sgRNA_37,72.33921457
sgRNA_21,76.49038874
sgRNA_70,49.59139542
sgRNA_94,34.31708991
sgRNA_29,73.97313709
sgRNA_68,50.84945089
sgRNA_60,56.92098417
sgRNA_66,51.3335178
sgRNA_30,73.80778158
sgRNA_127,10.98679006
sgRNA_58,58.13602696
sgRNA_2,88.59146225
sgRNA_47,66.11489488
sgRNA_79,47.84703546
sgRNA_147,0.185185185
sgRNA_126,11.66567968
sgRNA_77,48.14618781
sgRNA_86,41.53722863
sgRNA_134,7.130583099
sgRNA_53,61.14315712
sgRNA_12,78.71983702
sgRNA_1,90.15854518
sgRNA_26,75.40940845
sgRNA_131,7.731481481
sgRNA_140,2.04848071
sgRNA_149,-0.065503846
sgRNA_3,83.12284718
sgRNA_50,64.32555781
sgRNA_38,72.2525497
sgRNA_133,7.600434311
sgRNA_75,48.50441289
sgRNA_62,56.1039165
sgRNA_49,64.74593023
sgRNA_33,73.23562306
sgRNA_32,73.7757732
sgRNA_20,76.57155979
sgRNA_92,38.55854169
sgRNA_17,77.54633796
sgRNA_64,55.19753658
sgRNA_123,12.37210902
sgRNA_114,15.93816879
sgRNA_132,7.670182167
sgRNA_14,78.453126
sgRNA_89,39.68850853
sgRNA_52,63.16688033
sgRNA_61,56.71938363
sgRNA_144,0.611309221
sgRNA_91,39.62747773
sgRNA_137,5.53731902
sgRNA_148,0.062201949
sgRNA_109,19.01148083
sgRNA_119,13.27080284
sgRNA_73,49.19960498
