sgRNA,Indel_Rate
sgRNA_10,79.08452233
sgRNA_5,81.58939227
sgRNA_15,77.79878971
sgRNA_19,77.30496454
sgRNA_11,78.83869957
sgRNA_18,77.36477171
sgRNA_8,80.10967749
sgRNA_6,80.82584968
sgRNA_24,75.64290448
sgRNA_22,75.92480291
sgRNA_23,75.90082749
sgRNA_7,80.41990317
sgRNA_9,79.55045299
sgRNA_4,82.1773221
sgRNA_13,78.67165575
sgRNA_16,77.57464424
sgRNA_25,75.54410053
sgRNA_21,76.49038874
sgRNA_2,88.59146225
sgRNA_12,78.71983702
sgRNA_1,90.15854518
sgRNA_26,75.40940845
sgRNA_3,83.12284718
sgRNA_20,76.57155979
sgRNA_17,77.54633796
sgRNA_14,78.453126
sgRNA_136,6.254023729
sgRNA_130,9.578258628
sgRNA_141,1.362727156
sgRNA_143,0.868428245
sgRNA_138,3.589981084
sgRNA_146,0.228219442
sgRNA_135,6.369607418
sgRNA_150,-0.220296572
sgRNA_139,2.868082476
sgRNA_145,0.264034599
sgRNA_142,0.878795861
sgRNA_147,0.185185185
sgRNA_134,7.130583099
sgRNA_131,7.731481481
sgRNA_140,2.04848071
sgRNA_149,-0.065503846
sgRNA_133,7.600434311
sgRNA_132,7.670182167
sgRNA_144,0.611309221
sgRNA_137,5.53731902
sgRNA_148,0.062201949
