sgRNA,Indel_Rate,Group
sgRNA_10,79.08452233,High
sgRNA_5,81.58939227,High
sgRNA_11,78.83869957,High
sgRNA_8,80.10967749,High
sgRNA_6,80.82584968,High
sgRNA_7,80.41990317,High
sgRNA_9,79.55045299,High
sgRNA_4,82.1773221,High
sgRNA_13,78.67165575,High
sgRNA_2,88.59146225,High
sgRNA_12,78.71983702,High
sgRNA_1,90.15854518,High
sgRNA_3,83.12284718,High
sgRNA_14,78.453126,High
sgRNA_136,6.254023729,Low
sgRNA_130,9.578258628,Low
sgRNA_141,1.362727156,Low
sgRNA_138,3.589981084,Low
sgRNA_135,6.369607418,Low
sgRNA_139,2.868082476,Low
sgRNA_134,7.130583099,Low
sgRNA_131,7.731481481,Low
sgRNA_140,2.04848071,Low
sgRNA_133,7.600434311,Low
sgRNA_132,7.670182167,Low
sgRNA_137,5.53731902,Low
