sgRNA_ID,Indel_Rate,Mean_Scaffold_RMSD,Max_Scaffold_RMSD,Ensemble_RMSD_Fluctuation,True_OffTarget_Matches,High_Risk_Sites_Count,Max_True_OffTarget_Score,Cumulative_OffTarget_Risk
sgRNA_35,72.95013286,29.806237290504505,36.89569896810533,5.374979675622787,274,48,0.7552749356945332,0.9999999999999996
sgRNA_136,6.254023729,23.2611459754332,27.83963611194478,6.607826317030155,134,16,0.5238095242619047,0.9999999486867388
sgRNA_101,26.66894198,23.155277721844715,25.765678469528016,1.9346745827592584,48,10,0.6500000003,0.9997746854083988
sgRNA_111,17.4819567,15.053098726086056,29.515224093024475,9.245811014499294,49,4,0.705882353,0.997258681686138
sgRNA_10,79.08452233,35.8128802457711,40.287773686593134,3.502561378908408,241,42,0.7242857148985715,0.9999999999999988
sgRNA_5,81.58939227,25.01136126352281,34.45867792307168,7.237088480259437,212,46,0.8649885580572082,1.0
sgRNA_97,28.65644185,24.95804072752758,32.4478806592283,5.949220059912878,382,66,0.7418478262173914,1.0
sgRNA_96,29.37408669,24.68513643887848,33.13677789260119,7.284853086102252,60,3,0.4662480379109104,0.9782939448466536
sgRNA_15,77.79878971,33.05421741390455,36.04749982787247,1.9201346226017395,193,21,0.5380434781875,0.9999999998124278
sgRNA_42,72.03775837,23.839959470702286,38.208602063428216,11.93598866782373,34,5,0.941176471,0.9973715228920418
sgRNA_57,58.81454771,24.185101565378584,31.99583034840133,7.623349047284305,11,3,0.348214285575,0.691149086555497
sgRNA_59,58.03415119,22.22047131711528,27.946888014476897,5.107305220124124,175,28,0.64144736825,0.9999999999996642
sgRNA_130,9.578258628,24.23331986786516,33.26721139083812,7.204177531554755,421,87,0.7538461535141026,1.0
sgRNA_67,51.23756764,34.678872435660736,39.95020915250908,5.70568600142062,326,31,0.8000000002410257,0.9999999999999908
sgRNA_69,50.75100766,17.389117248214117,32.74544090206225,9.721979733484048,31,4,0.5965909090369318,0.9814050885021804
sgRNA_141,1.362727156,34.03927942907439,37.98477580080517,2.925912076696639,136,23,0.65000000025,0.9999999605562688
sgRNA_124,12.12050234,36.527929774053,38.683268571558855,1.8464699987229696,432,72,0.7342657341311191,1.0
sgRNA_19,77.30496454,27.13536171052601,37.68665970434661,8.090563381663632,34,2,0.5376838235742188,0.9653536593498084
sgRNA_90,39.66979025,25.14768286501772,30.7874923603812,4.819450677897137,106,12,0.5113636363125,0.9999534233181404
sgRNA_115,15.10353228,23.631009441029487,33.76194035704501,7.6167648248059985,116,22,0.5394605391458543,0.9999996043137388
sgRNA_34,73.1708516,26.49033906787329,34.622134482748194,8.460913562192184,115,13,0.5142857142,0.999995506878395
sgRNA_43,71.11917949,41.68671558941549,44.050832421846046,2.5836107506645694,124,17,0.4730406176875357,0.999971176593484
sgRNA_11,78.83869957,24.56806070722781,34.442813931313,7.858014727258795,92,19,0.6529017860156251,0.9999991009901884
sgRNA_18,77.36477171,32.775517038857295,42.663222665474485,6.357486026947758,242,61,0.9,1.0
sgRNA_103,24.95661458,25.7565410616822,36.06236925404844,7.177571455917645,137,36,0.5333333336,0.9999999990018672
sgRNA_98,27.7579518,21.38863187684759,30.847057367756577,8.529859838460485,64,17,0.4078431376372549,0.9999584062289084
sgRNA_121,12.98864328,15.452638309342236,30.38388257814353,9.137388746262545,33,0,0.19151785723125,0.831304362997768
sgRNA_46,68.05869074,36.65339406439694,39.60354303215479,2.233564394454445,178,47,0.6272977939921874,0.9999999999999908
sgRNA_48,65.13551929,37.23823799267355,41.16518480571504,2.670452973329441,144,34,0.5892857141875,0.9999999979803206
sgRNA_8,80.10967749,31.44258601359157,39.64961441068191,6.291722543288281,206,32,0.875,0.999999999976927
sgRNA_88,40.312957,26.22077804960174,37.07399558440802,6.173756271462347,246,54,0.5259740260266234,0.9999999999999994
sgRNA_143,0.868428245,35.27285368834398,39.02660415767991,2.799314709749776,1820,275,0.8439897695370844,1.0
sgRNA_105,20.48611111,13.465509969082865,22.421704998040223,4.706457253738065,107,16,0.423076923,0.9999712544525686
sgRNA_84,43.86984081,19.79197078870145,31.844399243660646,8.067610179559187,74,16,0.4771597628913609,0.9998899285742412
sgRNA_118,13.304852,32.4087048983277,33.5492866785683,0.9900864786778087,468,56,0.7200000002169231,1.0
sgRNA_28,74.29110059,35.794767885922866,37.246770934818,1.9357648481083167,141,33,0.5515151515204546,0.9999999999001624
sgRNA_87,40.95525666,13.421494862568892,21.29924404990281,4.972183741618597,264,26,0.692307692,0.9999999999953108
sgRNA_93,35.54343831,35.82614729144704,38.61136016420198,1.9343686730187968,125,16,0.8359133124798761,0.9999994213979267
sgRNA_120,13.05814502,26.64588416148544,35.013736330442114,6.263941018513106,136,23,0.6250000001647728,0.9999999744901678
sgRNA_138,3.589981084,11.579547285506653,20.35202527863834,4.70066703554079,64,5,0.6190476189999999,0.9960489713089188
sgRNA_100,27.15019781,36.0745976143104,38.20850063274536,2.050824751095861,88,29,0.5200000001688889,0.9999999678849952
sgRNA_102,26.54594023,36.77589206411617,41.45694081278157,3.6709732118172846,289,34,0.78399999972,0.9999999999999684
sgRNA_45,70.40101515,23.352398136825563,28.22220950698596,2.462011981120128,168,11,0.6093749998984376,0.9999995166457568
sgRNA_74,48.98580022,35.4788801050572,40.51318213507977,3.055473554431451,103,12,0.53903743318877,0.9999778836598544
sgRNA_80,47.56828781,19.032863336266395,30.069886298927365,8.367835333263708,53,6,0.518607442847539,0.9885872032140246
sgRNA_6,80.82584968,23.56156969901436,25.229255654203868,1.175689850672072,40,2,0.315000000315,0.9690331305679614
