sgRNA,Indel_Rate,Group,TL_32_37_R1_Pair,SL1_54_60_R1_Pair,SL2_71_76_R1_Pair,SL3_88_90_R1_Pair,TL_32_37_R1_Stack,SL1_54_60_R1_Stack,SL2_71_76_R1_Stack,SL3_88_90_R1_Stack
sgRNA_10,79.08452233,High,1,0,0,0,1,0,0,0
sgRNA_5,81.58939227,High,0,0,1,0,0,0,1,0
sgRNA_11,78.83869957,High,0,1,1,0,0,1,0,0
sgRNA_8,80.10967749,High,1,0,0,0,1,0,0,0
sgRNA_6,80.82584968,High,0,1,0,0,0,1,0,0
sgRNA_7,80.41990317,High,1,0,0,0,0,0,0,0
sgRNA_9,79.55045299,High,0,0,1,0,0,0,1,0
sgRNA_4,82.1773221,High,0,1,0,0,0,1,0,0
sgRNA_13,78.67165575,High,0,1,1,0,0,1,1,0
sgRNA_2,88.59146225,High,0,1,0,0,0,1,0,0
sgRNA_12,78.71983702,High,0,0,0,0,0,0,0,0
sgRNA_1,90.15854518,High,0,1,1,0,0,1,1,0
sgRNA_3,83.12284718,High,0,1,1,0,0,0,1,0
sgRNA_14,78.453126,High,1,0,0,0,1,0,0,0
sgRNA_136,6.254023729,Low,0,1,0,0,0,0,0,0
sgRNA_130,9.578258628,Low,0,1,0,0,0,1,0,0
sgRNA_141,1.362727156,Low,1,0,0,0,1,0,0,0
sgRNA_138,3.589981084,Low,0,1,1,0,0,1,1,0
sgRNA_135,6.369607418,Low,0,1,0,0,0,0,0,0
sgRNA_139,2.868082476,Low,0,0,0,0,0,0,0,0
sgRNA_134,7.130583099,Low,0,0,0,0,0,0,0,0
sgRNA_131,7.731481481,Low,1,0,0,0,1,0,0,0
sgRNA_140,2.04848071,Low,0,1,1,0,0,0,0,0
sgRNA_133,7.600434311,Low,1,0,0,0,0,0,0,0
sgRNA_132,7.670182167,Low,0,0,0,0,0,0,0,0
sgRNA_137,5.53731902,Low,1,0,0,0,1,0,0,0
