sgRNA,Group,Indel_Rate,TL_32_37_Pair,SL1_54_60_Pair,SL2_71_76_Pair,SL3_88_90_Pair,TL_32_37_Stack,SL1_54_60_Stack,SL2_71_76_Stack,SL3_88_90_Stack
sgRNA_10,High,79.08452233,0,0,0,0,0,0,0,0
sgRNA_5,High,81.58939227,0,0,1,0,0,0,0,0
sgRNA_11,High,78.83869957,0,1,0,0,0,1,0,0
sgRNA_8,High,80.10967749,0,0,1,0,0,0,0,0
sgRNA_6,High,80.82584968,0,1,0,0,0,1,0,0
sgRNA_7,High,80.41990317,1,0,0,0,0,0,0,0
sgRNA_9,High,79.55045299,0,0,1,0,0,0,1,0
sgRNA_4,High,82.1773221,0,1,0,0,0,1,0,0
sgRNA_13,High,78.67165575,0,1,1,0,0,1,1,0
sgRNA_2,High,88.59146225,0,1,0,0,0,1,0,0
sgRNA_12,High,78.71983702,0,0,0,0,0,0,0,0
sgRNA_1,High,90.15854518,0,1,1,0,0,1,1,0
sgRNA_3,High,83.12284718,0,1,1,0,0,0,1,0
sgRNA_14,High,78.453126,0,0,0,0,0,0,0,0
sgRNA_136,Low,6.254023729,0,1,1,0,0,1,0,0
sgRNA_130,Low,9.578258628,0,1,0,0,0,1,0,0
sgRNA_141,Low,1.362727156,0,0,0,0,0,0,0,0
sgRNA_138,Low,3.589981084,0,1,1,0,0,0,1,0
sgRNA_135,Low,6.369607418,0,1,0,0,0,0,0,0
sgRNA_139,Low,2.868082476,0,0,0,0,0,0,0,0
sgRNA_134,Low,7.130583099,0,0,0,0,0,0,0,0
sgRNA_131,Low,7.731481481,0,0,0,0,0,0,0,0
sgRNA_140,Low,2.04848071,0,1,1,0,0,0,0,0
sgRNA_133,Low,7.600434311,0,0,0,0,0,0,0,0
sgRNA_132,Low,7.670182167,0,0,0,0,0,0,0,0
sgRNA_137,Low,5.53731902,1,0,0,0,1,0,0,0
