sgRNA,Rank,TL_32_37,SL1_54_60,SL2_71_76,SL3_88_90
sgRNA_1,rank01,0,1,1,0
sgRNA_1,rank02,0,1,1,0
sgRNA_1,rank03,0,1,0,0
sgRNA_1,rank04,0,0,0,0
sgRNA_1,rank05,0,1,1,0
sgRNA_10,rank01,1,0,0,0
sgRNA_10,rank02,1,0,0,0
sgRNA_10,rank03,0,0,1,0
sgRNA_10,rank04,0,0,0,0
sgRNA_10,rank05,0,0,0,0
sgRNA_100,rank01,0,0,0,0
sgRNA_100,rank02,0,0,0,0
sgRNA_100,rank03,0,0,0,0
sgRNA_100,rank04,0,0,0,0
sgRNA_100,rank05,0,0,0,0
sgRNA_101,rank01,0,1,0,0
sgRNA_101,rank02,0,1,0,0
sgRNA_101,rank03,0,1,0,0
sgRNA_101,rank04,0,1,0,0
sgRNA_101,rank05,0,1,0,0
sgRNA_102,rank01,1,0,0,0
sgRNA_102,rank02,1,0,0,0
sgRNA_102,rank03,1,0,0,0
sgRNA_102,rank04,1,0,0,0
sgRNA_102,rank05,1,0,1,0
sgRNA_103,rank01,0,0,0,0
sgRNA_103,rank02,0,1,1,0
sgRNA_103,rank03,0,1,1,0
sgRNA_103,rank04,0,1,0,0
sgRNA_103,rank05,1,0,0,0
sgRNA_104,rank01,0,1,0,0
sgRNA_104,rank02,0,1,0,0
sgRNA_104,rank03,0,0,1,0
sgRNA_104,rank04,0,0,0,0
sgRNA_104,rank05,0,0,0,1
sgRNA_105,rank01,0,0,1,0
sgRNA_105,rank02,0,1,0,0
sgRNA_105,rank03,0,1,1,0
sgRNA_105,rank04,0,1,0,0
sgRNA_105,rank05,0,1,1,0
sgRNA_106,rank01,0,0,0,0
sgRNA_106,rank02,0,0,0,0
sgRNA_106,rank03,0,0,0,0
sgRNA_106,rank04,0,0,0,0
sgRNA_106,rank05,0,0,0,0
sgRNA_107,rank01,0,0,0,0
sgRNA_107,rank02,0,0,0,0
sgRNA_107,rank03,1,0,0,0
sgRNA_107,rank04,1,0,0,0
sgRNA_107,rank05,0,0,0,0
sgRNA_108,rank01,0,0,0,0
sgRNA_108,rank02,1,0,0,0
sgRNA_108,rank03,1,0,0,0
sgRNA_108,rank04,0,0,0,0
sgRNA_108,rank05,1,0,0,0
sgRNA_109,rank01,0,0,0,0
sgRNA_109,rank02,0,1,1,0
sgRNA_109,rank03,0,0,1,0
sgRNA_109,rank04,0,0,0,0
sgRNA_109,rank05,0,0,0,0
sgRNA_11,rank01,0,1,0,0
sgRNA_11,rank02,0,1,0,0
sgRNA_11,rank03,0,1,0,0
sgRNA_11,rank04,0,1,1,0
sgRNA_11,rank05,0,0,0,0
sgRNA_110,rank01,0,1,0,0
sgRNA_110,rank02,0,0,0,0
sgRNA_110,rank03,0,1,0,0
sgRNA_110,rank04,0,1,0,0
sgRNA_110,rank05,0,0,0,0
sgRNA_111,rank01,0,1,1,0
sgRNA_111,rank02,0,1,1,0
sgRNA_111,rank03,0,1,1,0
sgRNA_111,rank04,0,1,0,0
sgRNA_111,rank05,0,0,0,0
sgRNA_112,rank01,0,0,0,0
sgRNA_112,rank02,0,0,0,0
sgRNA_112,rank03,0,0,0,0
sgRNA_112,rank04,0,0,0,0
sgRNA_112,rank05,1,0,0,0
sgRNA_113,rank01,0,1,1,0
sgRNA_113,rank02,0,1,0,0
sgRNA_113,rank03,0,1,1,0
sgRNA_113,rank04,0,0,0,0
sgRNA_113,rank05,0,0,1,0
sgRNA_114,rank01,0,1,0,0
sgRNA_114,rank02,0,1,0,0
sgRNA_114,rank03,0,1,0,0
sgRNA_114,rank04,0,1,0,0
sgRNA_114,rank05,0,0,0,0
sgRNA_115,rank01,0,0,1,0
sgRNA_115,rank02,0,0,0,0
sgRNA_115,rank03,0,1,0,0
sgRNA_115,rank04,0,1,0,0
sgRNA_115,rank05,0,1,0,0
sgRNA_116,rank01,0,1,0,0
sgRNA_116,rank02,0,1,0,0
sgRNA_116,rank03,0,1,1,0
sgRNA_116,rank04,0,1,1,0
sgRNA_116,rank05,0,1,0,0
sgRNA_117,rank01,0,1,1,0
sgRNA_117,rank02,0,1,0,0
sgRNA_117,rank03,0,1,1,0
sgRNA_117,rank04,0,1,1,0
sgRNA_117,rank05,0,1,0,0
sgRNA_118,rank01,0,0,0,0
sgRNA_118,rank02,0,0,0,0
sgRNA_118,rank03,0,0,0,0
sgRNA_118,rank04,0,0,0,0
sgRNA_118,rank05,0,0,0,0
sgRNA_119,rank01,0,0,0,0
sgRNA_119,rank02,0,0,0,0
sgRNA_119,rank03,0,0,0,0
sgRNA_119,rank04,0,0,0,0
sgRNA_119,rank05,0,0,0,0
sgRNA_12,rank01,0,0,0,0
sgRNA_12,rank02,0,0,0,0
sgRNA_12,rank03,0,0,0,0
sgRNA_12,rank04,0,0,0,0
sgRNA_12,rank05,0,0,0,0
sgRNA_120,rank01,0,1,0,0
sgRNA_120,rank02,0,1,0,0
sgRNA_120,rank03,0,1,0,0
sgRNA_120,rank04,0,0,1,0
sgRNA_120,rank05,0,0,1,0
sgRNA_121,rank01,0,1,1,0
sgRNA_121,rank02,0,1,1,0
sgRNA_121,rank03,0,1,0,0
sgRNA_121,rank04,0,0,1,0
sgRNA_121,rank05,0,1,0,0
sgRNA_122,rank01,1,0,0,0
sgRNA_122,rank02,1,0,0,0
sgRNA_122,rank03,1,0,1,0
sgRNA_122,rank04,1,0,1,0
sgRNA_122,rank05,0,0,0,0
sgRNA_123,rank01,0,0,0,0
sgRNA_123,rank02,0,0,0,0
sgRNA_123,rank03,0,1,0,0
sgRNA_123,rank04,0,0,0,0
sgRNA_123,rank05,0,0,0,0
sgRNA_124,rank01,0,0,0,0
sgRNA_124,rank02,0,0,0,0
sgRNA_124,rank03,0,0,0,0
sgRNA_124,rank04,0,0,0,0
sgRNA_124,rank05,0,0,0,0
sgRNA_125,rank01,0,0,0,0
sgRNA_125,rank02,1,0,0,0
sgRNA_125,rank03,1,0,0,0
sgRNA_125,rank04,0,0,0,0
sgRNA_125,rank05,1,0,0,0
sgRNA_126,rank01,1,0,0,0
sgRNA_126,rank02,1,0,0,0
sgRNA_126,rank03,0,0,0,0
sgRNA_126,rank04,0,0,0,0
sgRNA_126,rank05,0,0,0,0
sgRNA_127,rank01,0,1,1,0
sgRNA_127,rank02,0,1,1,0
sgRNA_127,rank03,0,1,1,0
sgRNA_127,rank04,0,1,0,0
sgRNA_127,rank05,0,1,0,0
sgRNA_128,rank01,0,1,0,0
sgRNA_128,rank02,0,1,1,0
sgRNA_128,rank03,0,1,0,0
sgRNA_128,rank04,0,1,0,0
sgRNA_128,rank05,0,1,0,0
sgRNA_129,rank01,0,0,1,0
sgRNA_129,rank02,0,0,0,0
sgRNA_129,rank03,0,0,1,0
sgRNA_129,rank04,0,0,1,0
sgRNA_129,rank05,0,0,1,0
sgRNA_13,rank01,0,1,1,0
sgRNA_13,rank02,0,1,1,0
sgRNA_13,rank03,0,0,1,0
sgRNA_13,rank04,0,1,1,0
sgRNA_13,rank05,0,1,0,0
sgRNA_130,rank01,0,1,0,0
sgRNA_130,rank02,0,0,1,0
sgRNA_130,rank03,0,1,0,0
sgRNA_130,rank04,0,0,0,0
sgRNA_130,rank05,0,1,1,0
sgRNA_131,rank01,1,0,0,0
sgRNA_131,rank02,0,0,0,0
sgRNA_131,rank03,0,0,0,0
sgRNA_131,rank04,0,0,0,0
sgRNA_131,rank05,0,0,0,0
sgRNA_132,rank01,0,0,0,0
sgRNA_132,rank02,0,0,0,0
sgRNA_132,rank03,0,0,0,0
sgRNA_132,rank04,1,0,0,0
sgRNA_132,rank05,0,0,1,0
sgRNA_133,rank01,0,0,0,0
sgRNA_133,rank02,1,0,0,0
sgRNA_133,rank03,0,0,0,0
sgRNA_133,rank04,0,1,1,0
sgRNA_133,rank05,0,1,0,0
sgRNA_134,rank01,0,0,0,0
sgRNA_134,rank02,0,0,0,0
sgRNA_134,rank03,0,0,0,0
sgRNA_134,rank04,0,0,0,0
sgRNA_134,rank05,0,0,0,0
sgRNA_135,rank01,0,0,0,0
sgRNA_135,rank02,0,1,0,0
sgRNA_135,rank03,0,0,1,0
sgRNA_135,rank04,0,0,0,0
sgRNA_135,rank05,0,0,0,0
sgRNA_136,rank01,0,0,0,0
sgRNA_136,rank02,0,1,0,0
sgRNA_136,rank03,0,0,0,0
sgRNA_136,rank04,0,1,1,0
sgRNA_136,rank05,0,1,0,0
sgRNA_137,rank01,1,0,0,0
sgRNA_137,rank02,1,0,0,0
sgRNA_137,rank03,0,0,0,0
sgRNA_137,rank04,1,0,0,0
sgRNA_137,rank05,1,0,0,0
sgRNA_138,rank01,0,1,1,0
sgRNA_138,rank02,0,0,1,0
sgRNA_138,rank03,0,0,1,0
sgRNA_138,rank04,0,0,1,0
sgRNA_138,rank05,0,1,1,0
sgRNA_139,rank01,0,0,0,0
sgRNA_139,rank02,0,0,0,0
sgRNA_139,rank03,0,0,0,0
sgRNA_139,rank04,0,0,0,0
sgRNA_139,rank05,0,0,0,0
sgRNA_14,rank01,1,0,0,0
sgRNA_14,rank02,0,0,0,0
sgRNA_14,rank03,0,0,0,0
sgRNA_14,rank04,0,0,0,0
sgRNA_14,rank05,1,0,0,0
sgRNA_140,rank01,0,0,0,0
sgRNA_140,rank02,0,0,0,0
sgRNA_140,rank03,0,0,0,0
sgRNA_140,rank04,0,1,0,0
sgRNA_140,rank05,0,0,0,0
sgRNA_141,rank01,1,0,0,0
sgRNA_141,rank02,0,1,0,0
sgRNA_141,rank03,0,0,0,0
sgRNA_141,rank04,0,0,0,0
sgRNA_141,rank05,1,0,0,0
sgRNA_142,rank01,0,1,0,0
sgRNA_142,rank02,0,1,0,0
sgRNA_142,rank03,0,1,0,0
sgRNA_142,rank04,0,0,1,0
sgRNA_142,rank05,0,1,0,0
sgRNA_143,rank01,0,0,0,0
sgRNA_143,rank02,0,0,0,0
sgRNA_143,rank03,0,0,0,1
sgRNA_143,rank04,1,0,0,0
sgRNA_143,rank05,0,1,0,0
sgRNA_144,rank01,0,0,0,0
sgRNA_144,rank02,0,1,0,0
sgRNA_144,rank03,0,1,0,0
sgRNA_144,rank04,0,1,0,0
sgRNA_144,rank05,0,0,0,0
sgRNA_145,rank01,0,1,1,0
sgRNA_145,rank02,0,1,1,0
sgRNA_145,rank03,0,1,1,0
sgRNA_145,rank04,0,0,1,0
sgRNA_145,rank05,0,0,0,1
sgRNA_146,rank01,1,0,0,0
sgRNA_146,rank02,1,0,0,0
sgRNA_146,rank03,1,0,0,0
sgRNA_146,rank04,1,0,0,0
sgRNA_146,rank05,1,0,0,0
sgRNA_147,rank01,0,1,0,0
sgRNA_147,rank02,0,1,0,0
sgRNA_147,rank03,0,1,0,0
sgRNA_147,rank04,0,1,0,0
sgRNA_147,rank05,0,1,0,0
sgRNA_148,rank01,0,0,0,0
sgRNA_148,rank02,0,0,0,0
sgRNA_148,rank03,0,0,0,0
sgRNA_148,rank04,0,0,0,0
sgRNA_148,rank05,1,0,0,0
sgRNA_149,rank01,0,0,1,0
sgRNA_149,rank02,0,0,1,0
sgRNA_149,rank03,0,0,1,0
sgRNA_149,rank04,0,0,1,0
sgRNA_149,rank05,1,0,0,0
sgRNA_15,rank01,0,0,0,0
sgRNA_15,rank02,0,0,0,0
sgRNA_15,rank03,0,0,0,0
sgRNA_15,rank04,0,0,0,0
sgRNA_15,rank05,0,0,0,0
sgRNA_150,rank01,1,0,1,0
sgRNA_150,rank02,1,0,0,0
sgRNA_150,rank03,1,0,0,0
sgRNA_150,rank04,0,0,0,0
sgRNA_150,rank05,1,0,0,0
sgRNA_16,rank01,0,0,1,0
sgRNA_16,rank02,0,0,0,0
sgRNA_16,rank03,0,1,0,0
sgRNA_16,rank04,0,0,0,0
sgRNA_16,rank05,0,0,0,0
sgRNA_17,rank01,0,0,1,0
sgRNA_17,rank02,0,1,1,0
sgRNA_17,rank03,0,0,1,0
sgRNA_17,rank04,0,1,1,0
sgRNA_17,rank05,0,1,0,0
sgRNA_18,rank01,1,0,0,0
sgRNA_18,rank02,0,0,0,0
sgRNA_18,rank03,1,0,0,0
sgRNA_18,rank04,0,0,0,0
sgRNA_18,rank05,1,0,0,0
sgRNA_19,rank01,0,1,1,0
sgRNA_19,rank02,0,0,0,0
sgRNA_19,rank03,0,1,0,0
sgRNA_19,rank04,0,0,1,0
sgRNA_19,rank05,0,1,1,0
sgRNA_2,rank01,0,1,0,0
sgRNA_2,rank02,0,1,0,0
sgRNA_2,rank03,0,1,0,0
sgRNA_2,rank04,0,1,0,0
sgRNA_2,rank05,0,1,0,0
sgRNA_20,rank01,0,0,1,0
sgRNA_20,rank02,0,1,1,0
sgRNA_20,rank03,0,0,1,0
sgRNA_20,rank04,0,1,1,0
sgRNA_20,rank05,0,0,1,0
sgRNA_21,rank01,0,1,1,0
sgRNA_21,rank02,0,0,0,0
sgRNA_21,rank03,0,0,0,0
sgRNA_21,rank04,0,0,1,0
sgRNA_21,rank05,0,1,1,0
sgRNA_22,rank01,0,1,1,0
sgRNA_22,rank02,0,0,1,0
sgRNA_22,rank03,0,1,1,0
sgRNA_22,rank04,0,1,1,0
sgRNA_22,rank05,0,0,1,0
sgRNA_23,rank01,0,1,0,0
sgRNA_23,rank02,0,1,1,0
sgRNA_23,rank03,0,1,1,0
sgRNA_23,rank04,0,1,0,0
sgRNA_23,rank05,0,0,1,0
sgRNA_24,rank01,1,0,0,0
sgRNA_24,rank02,1,0,0,0
sgRNA_24,rank03,1,0,0,0
sgRNA_24,rank04,1,0,0,0
sgRNA_24,rank05,1,0,0,0
sgRNA_25,rank01,1,0,0,0
sgRNA_25,rank02,1,0,0,0
sgRNA_25,rank03,0,0,0,0
sgRNA_25,rank04,1,0,0,0
sgRNA_25,rank05,0,0,0,0
sgRNA_26,rank01,0,1,1,0
sgRNA_26,rank02,0,1,1,0
sgRNA_26,rank03,0,1,0,0
sgRNA_26,rank04,0,0,1,0
sgRNA_26,rank05,0,1,0,0
sgRNA_27,rank01,0,1,0,0
sgRNA_27,rank02,0,1,1,0
sgRNA_27,rank03,0,1,0,0
sgRNA_27,rank04,0,0,1,0
sgRNA_27,rank05,0,0,0,0
sgRNA_28,rank01,1,0,0,0
sgRNA_28,rank02,0,0,0,0
sgRNA_28,rank03,1,0,0,0
sgRNA_28,rank04,1,0,0,0
sgRNA_28,rank05,0,0,0,0
sgRNA_29,rank01,1,0,0,0
sgRNA_29,rank02,0,0,0,0
sgRNA_29,rank03,0,0,0,0
sgRNA_29,rank04,0,0,0,0
sgRNA_29,rank05,0,0,0,0
sgRNA_3,rank01,0,0,1,0
sgRNA_3,rank02,0,1,1,0
sgRNA_3,rank03,0,0,0,0
sgRNA_3,rank04,0,0,0,0
sgRNA_3,rank05,0,0,1,0
sgRNA_30,rank01,0,1,1,0
sgRNA_30,rank02,0,1,0,0
sgRNA_30,rank03,0,1,0,0
sgRNA_30,rank04,0,1,1,0
sgRNA_30,rank05,0,0,0,0
sgRNA_31,rank01,0,0,1,0
sgRNA_31,rank02,0,1,1,0
sgRNA_31,rank03,0,1,1,0
sgRNA_31,rank04,0,0,1,0
sgRNA_31,rank05,0,1,0,0
sgRNA_32,rank01,0,0,1,0
sgRNA_32,rank02,0,1,1,0
sgRNA_32,rank03,0,0,0,0
sgRNA_32,rank04,0,0,1,0
sgRNA_32,rank05,0,1,0,0
sgRNA_33,rank01,1,0,0,0
sgRNA_33,rank02,1,0,0,0
sgRNA_33,rank03,1,0,0,0
sgRNA_33,rank04,0,0,0,0
sgRNA_33,rank05,0,0,0,0
sgRNA_34,rank01,0,1,1,0
sgRNA_34,rank02,0,0,0,0
sgRNA_34,rank03,0,1,1,0
sgRNA_34,rank04,0,1,0,0
sgRNA_34,rank05,0,0,0,0
sgRNA_35,rank01,1,0,0,0
sgRNA_35,rank02,0,0,0,0
sgRNA_35,rank03,0,0,0,0
sgRNA_35,rank04,0,1,1,0
sgRNA_35,rank05,0,0,0,0
sgRNA_36,rank01,0,0,1,0
sgRNA_36,rank02,0,0,1,0
sgRNA_36,rank03,0,1,1,0
sgRNA_36,rank04,0,0,1,0
sgRNA_36,rank05,0,1,1,0
sgRNA_37,rank01,0,1,1,0
sgRNA_37,rank02,0,1,1,0
sgRNA_37,rank03,0,1,1,0
sgRNA_37,rank04,0,1,1,0
sgRNA_37,rank05,0,0,1,0
sgRNA_38,rank01,0,1,0,0
sgRNA_38,rank02,0,1,1,0
sgRNA_38,rank03,0,1,1,0
sgRNA_38,rank04,0,1,0,0
sgRNA_38,rank05,0,1,0,0
sgRNA_39,rank01,1,0,0,0
sgRNA_39,rank02,0,0,0,0
sgRNA_39,rank03,0,0,0,0
sgRNA_39,rank04,0,0,0,0
sgRNA_39,rank05,0,0,0,0
sgRNA_4,rank01,0,1,0,0
sgRNA_4,rank02,0,1,0,0
sgRNA_4,rank03,0,1,0,0
sgRNA_4,rank04,0,0,0,0
sgRNA_4,rank05,0,0,0,0
sgRNA_40,rank01,1,0,0,0
sgRNA_40,rank02,1,0,0,0
sgRNA_40,rank03,1,0,0,0
sgRNA_40,rank04,0,0,1,0
sgRNA_40,rank05,1,0,0,0
sgRNA_41,rank01,0,0,0,0
sgRNA_41,rank02,0,0,0,0
sgRNA_41,rank03,0,1,0,0
sgRNA_41,rank04,0,0,0,0
sgRNA_41,rank05,0,1,0,0
sgRNA_42,rank01,0,1,0,0
sgRNA_42,rank02,0,1,0,0
sgRNA_42,rank03,0,1,0,0
sgRNA_42,rank04,0,0,0,1
sgRNA_42,rank05,0,1,1,0
sgRNA_43,rank01,0,0,0,0
sgRNA_43,rank02,0,0,0,0
sgRNA_43,rank03,0,0,0,0
sgRNA_43,rank04,0,0,0,0
sgRNA_43,rank05,0,0,0,0
sgRNA_44,rank01,0,0,0,0
sgRNA_44,rank02,1,0,0,0
sgRNA_44,rank03,0,0,0,0
sgRNA_44,rank04,0,0,0,0
sgRNA_44,rank05,0,0,0,0
sgRNA_45,rank01,0,1,0,0
sgRNA_45,rank02,0,1,0,0
sgRNA_45,rank03,0,1,0,0
sgRNA_45,rank04,0,0,1,0
sgRNA_45,rank05,0,1,1,0
sgRNA_46,rank01,0,0,0,0
sgRNA_46,rank02,0,0,0,0
sgRNA_46,rank03,0,0,0,0
sgRNA_46,rank04,0,0,0,0
sgRNA_46,rank05,0,0,0,0
sgRNA_47,rank01,0,0,0,0
sgRNA_47,rank02,0,1,0,0
sgRNA_47,rank03,0,1,0,0
sgRNA_47,rank04,0,1,1,0
sgRNA_47,rank05,0,1,0,0
sgRNA_48,rank01,1,0,0,0
sgRNA_48,rank02,1,0,0,0
sgRNA_48,rank03,1,0,0,0
sgRNA_48,rank04,1,0,0,0
sgRNA_48,rank05,0,0,0,0
sgRNA_49,rank01,0,0,0,0
sgRNA_49,rank02,0,0,0,0
sgRNA_49,rank03,0,0,0,0
sgRNA_49,rank04,0,1,0,0
sgRNA_49,rank05,0,0,0,0
sgRNA_5,rank01,0,0,1,0
sgRNA_5,rank02,0,0,0,0
sgRNA_5,rank03,1,0,0,0
sgRNA_5,rank04,0,0,0,0
sgRNA_5,rank05,0,1,1,0
sgRNA_50,rank01,1,0,0,0
sgRNA_50,rank02,0,0,0,0
sgRNA_50,rank03,0,0,0,0
sgRNA_50,rank04,1,0,0,0
sgRNA_50,rank05,1,0,0,0
sgRNA_51,rank01,0,1,1,0
sgRNA_51,rank02,0,1,1,0
sgRNA_51,rank03,0,1,0,0
sgRNA_51,rank04,0,1,1,0
sgRNA_51,rank05,0,1,1,0
sgRNA_52,rank01,0,0,0,0
sgRNA_52,rank02,0,0,0,0
sgRNA_52,rank03,1,0,0,0
sgRNA_52,rank04,0,0,0,0
sgRNA_52,rank05,0,0,0,0
sgRNA_53,rank01,0,1,0,0
sgRNA_53,rank02,0,1,0,0
sgRNA_53,rank03,0,0,0,0
sgRNA_53,rank04,0,0,0,0
sgRNA_53,rank05,0,0,0,0
sgRNA_54,rank01,0,1,1,0
sgRNA_54,rank02,0,1,1,0
sgRNA_54,rank03,0,1,0,0
sgRNA_54,rank04,0,0,0,0
sgRNA_54,rank05,0,1,1,0
sgRNA_55,rank01,0,1,1,0
sgRNA_55,rank02,0,1,0,0
sgRNA_55,rank03,0,0,0,0
sgRNA_55,rank04,0,1,0,0
sgRNA_55,rank05,0,1,1,0
sgRNA_56,rank01,0,0,1,0
sgRNA_56,rank02,0,1,1,0
sgRNA_56,rank03,0,0,1,0
sgRNA_56,rank04,0,1,1,0
sgRNA_56,rank05,0,1,1,0
sgRNA_57,rank01,0,0,1,0
sgRNA_57,rank02,0,1,0,0
sgRNA_57,rank03,0,1,0,0
sgRNA_57,rank04,0,0,1,0
sgRNA_57,rank05,0,0,0,0
sgRNA_58,rank01,0,1,0,0
sgRNA_58,rank02,0,1,1,0
sgRNA_58,rank03,0,1,0,0
sgRNA_58,rank04,0,1,1,0
sgRNA_58,rank05,0,1,1,0
sgRNA_59,rank01,0,0,1,0
sgRNA_59,rank02,0,0,1,0
sgRNA_59,rank03,0,1,0,0
sgRNA_59,rank04,0,0,0,0
sgRNA_59,rank05,0,1,1,0
sgRNA_6,rank01,0,1,0,0
sgRNA_6,rank02,0,0,0,0
sgRNA_6,rank03,0,1,0,0
sgRNA_6,rank04,0,1,0,0
sgRNA_6,rank05,0,1,0,0
sgRNA_60,rank01,0,0,0,0
sgRNA_60,rank02,0,0,0,0
sgRNA_60,rank03,0,0,0,0
sgRNA_60,rank04,0,0,0,0
sgRNA_60,rank05,0,0,0,0
sgRNA_61,rank01,1,0,0,0
sgRNA_61,rank02,1,0,0,0
sgRNA_61,rank03,1,0,0,0
sgRNA_61,rank04,0,0,0,0
sgRNA_61,rank05,0,0,0,0
sgRNA_62,rank01,0,1,1,0
sgRNA_62,rank02,0,1,1,0
sgRNA_62,rank03,0,1,0,0
sgRNA_62,rank04,0,1,0,0
sgRNA_62,rank05,0,0,0,0
sgRNA_63,rank01,0,1,1,0
sgRNA_63,rank02,0,1,0,0
sgRNA_63,rank03,0,1,0,0
sgRNA_63,rank04,0,0,0,0
sgRNA_63,rank05,0,1,0,0
sgRNA_64,rank01,0,1,0,0
sgRNA_64,rank02,0,1,1,0
sgRNA_64,rank03,1,0,0,0
sgRNA_64,rank04,0,0,0,0
sgRNA_64,rank05,0,1,1,0
sgRNA_65,rank01,0,0,0,0
sgRNA_65,rank02,0,0,0,0
sgRNA_65,rank03,0,1,0,0
sgRNA_65,rank04,0,1,1,0
