sgRNA,Rank,Region,Entropy
sgRNA_1,rank01,SL1,0.8728251121076234
sgRNA_1,rank01,SL2,1.9355440414507772
sgRNA_1,rank01,SL3,0.0
sgRNA_1,rank01,TL,-0.336734693877551
sgRNA_1,rank01,spacer,1.6830699088145897
sgRNA_1,rank02,SL1,0.8728251121076234
sgRNA_1,rank02,SL2,1.9355440414507772
sgRNA_1,rank02,SL3,0.0
sgRNA_1,rank02,TL,-0.336734693877551
sgRNA_1,rank02,spacer,1.6830699088145897
sgRNA_1,rank03,SL1,0.8728251121076234
sgRNA_1,rank03,SL2,1.9355440414507772
sgRNA_1,rank03,SL3,0.0
sgRNA_1,rank03,TL,-0.336734693877551
sgRNA_1,rank03,spacer,1.6830699088145897
sgRNA_1,rank04,SL1,0.8728251121076234
sgRNA_1,rank04,SL2,1.9355440414507772
sgRNA_1,rank04,SL3,0.0
sgRNA_1,rank04,TL,-0.336734693877551
sgRNA_1,rank04,spacer,1.6830699088145897
sgRNA_1,rank05,SL1,0.8728251121076234
sgRNA_1,rank05,SL2,1.9355440414507772
sgRNA_1,rank05,SL3,0.0
sgRNA_1,rank05,TL,-0.336734693877551
sgRNA_1,rank05,spacer,1.6830699088145897
sgRNA_1,rank06,SL1,0.8728251121076234
sgRNA_1,rank06,SL2,1.9355440414507772
sgRNA_1,rank06,SL3,0.0
sgRNA_1,rank06,TL,-0.336734693877551
sgRNA_1,rank06,spacer,1.6830699088145897
sgRNA_1,rank07,SL1,0.8728251121076234
sgRNA_1,rank07,SL2,1.9355440414507772
sgRNA_1,rank07,SL3,0.0
sgRNA_1,rank07,TL,-0.336734693877551
sgRNA_1,rank07,spacer,1.6830699088145897
sgRNA_10,rank01,SL1,1.924708520179372
sgRNA_10,rank01,SL2,1.6788082901554404
sgRNA_10,rank01,SL3,0.35340206185567014
sgRNA_10,rank01,TL,1.8873469387755102
sgRNA_10,rank01,spacer,1.4266356589147287
sgRNA_10,rank02,SL1,1.924708520179372
sgRNA_10,rank02,SL2,1.6788082901554404
sgRNA_10,rank02,SL3,0.35340206185567014
sgRNA_10,rank02,TL,1.8873469387755102
sgRNA_10,rank02,spacer,1.4266356589147287
sgRNA_10,rank03,SL1,1.924708520179372
sgRNA_10,rank03,SL2,1.6788082901554404
sgRNA_10,rank03,SL3,0.35340206185567014
sgRNA_10,rank03,TL,1.8873469387755102
sgRNA_10,rank03,spacer,1.4266356589147287
sgRNA_10,rank04,SL1,1.924708520179372
sgRNA_10,rank04,SL2,1.6788082901554404
sgRNA_10,rank04,SL3,0.35340206185567014
sgRNA_10,rank04,TL,1.8873469387755102
sgRNA_10,rank04,spacer,1.4266356589147287
sgRNA_10,rank05,SL1,1.924708520179372
sgRNA_10,rank05,SL2,1.6788082901554404
sgRNA_10,rank05,SL3,0.35340206185567014
sgRNA_10,rank05,TL,1.8873469387755102
sgRNA_10,rank05,spacer,1.4266356589147287
sgRNA_10,rank06,SL1,1.924708520179372
sgRNA_10,rank06,SL2,1.6788082901554404
sgRNA_10,rank06,SL3,0.35340206185567014
sgRNA_10,rank06,TL,1.8873469387755102
sgRNA_10,rank06,spacer,1.4266356589147287
sgRNA_10,rank07,SL1,1.924708520179372
sgRNA_10,rank07,SL2,1.6788082901554404
sgRNA_10,rank07,SL3,0.35340206185567014
sgRNA_10,rank07,TL,1.8873469387755102
sgRNA_10,rank07,spacer,1.4266356589147287
sgRNA_10,rank08,SL1,1.924708520179372
sgRNA_10,rank08,SL2,1.6788082901554404
sgRNA_10,rank08,SL3,0.35340206185567014
sgRNA_10,rank08,TL,1.8873469387755102
sgRNA_10,rank08,spacer,1.4266356589147287
sgRNA_100,rank01,SL1,1.5994618834080718
sgRNA_100,rank01,SL2,2.123937823834197
sgRNA_100,rank01,SL3,1.0686597938144329
sgRNA_100,rank01,TL,1.3058163265306122
sgRNA_100,rank01,spacer,1.3176755070202808
sgRNA_100,rank02,SL1,1.5994618834080718
sgRNA_100,rank02,SL2,2.123937823834197
sgRNA_100,rank02,SL3,1.0686597938144329
sgRNA_100,rank02,TL,1.3058163265306122
sgRNA_100,rank02,spacer,1.3176755070202808
sgRNA_100,rank03,SL1,1.5994618834080718
sgRNA_100,rank03,SL2,2.123937823834197
sgRNA_100,rank03,SL3,1.0686597938144329
sgRNA_100,rank03,TL,1.3058163265306122
sgRNA_100,rank03,spacer,1.3176755070202808
sgRNA_100,rank04,SL1,1.5994618834080718
sgRNA_100,rank04,SL2,2.123937823834197
sgRNA_100,rank04,SL3,1.0686597938144329
