sgRNA,Rank,TL_37_42,SL1_64_70,SL2_82_87,SL3_98_100
0000_sgRNA_1,rank01,0,1,0,0
0000_sgRNA_1,rank02,0,0,0,0
0000_sgRNA_1,rank03,0,0,0,0
0000_sgRNA_1,rank04,0,0,0,0
0000_sgRNA_1,rank05,0,0,0,0
0001_sgRNA_2,rank01,0,0,0,0
0001_sgRNA_2,rank02,0,0,0,0
0001_sgRNA_2,rank03,0,0,0,0
0001_sgRNA_2,rank04,0,0,0,0
0001_sgRNA_2,rank05,0,0,0,0
0002_sgRNA_3,rank01,0,0,0,0
0002_sgRNA_3,rank02,0,0,0,0
0002_sgRNA_3,rank03,0,1,0,0
0002_sgRNA_3,rank04,0,1,0,0
0002_sgRNA_3,rank05,0,0,0,0
0003_sgRNA_4,rank01,1,0,0,0
0003_sgRNA_4,rank02,1,0,0,0
0003_sgRNA_4,rank03,1,0,0,0
0003_sgRNA_4,rank04,0,0,0,0
0003_sgRNA_4,rank05,0,0,0,0
0004_sgRNA_5,rank01,1,0,0,0
0004_sgRNA_5,rank02,1,0,0,0
0004_sgRNA_5,rank03,1,0,0,0
0004_sgRNA_5,rank04,1,0,0,0
0004_sgRNA_5,rank05,0,0,0,0
0005_sgRNA_137,rank01,0,0,0,0
0005_sgRNA_137,rank02,0,0,0,0
0005_sgRNA_137,rank03,0,0,0,0
0005_sgRNA_137,rank04,0,0,0,0
0005_sgRNA_137,rank05,0,0,0,0
0006_sgRNA_138,rank01,0,1,1,0
0006_sgRNA_138,rank02,0,1,1,0
0006_sgRNA_138,rank03,0,1,1,0
0006_sgRNA_138,rank04,0,0,0,0
0006_sgRNA_138,rank05,0,0,0,0
0007_sgRNA_139,rank01,0,0,0,0
0007_sgRNA_139,rank02,0,0,0,0
0007_sgRNA_139,rank03,0,0,0,0
0007_sgRNA_139,rank04,0,0,0,0
0007_sgRNA_139,rank05,0,0,0,0
0008_sgRNA_140,rank01,0,0,0,0
0008_sgRNA_140,rank02,0,0,0,0
0008_sgRNA_140,rank03,0,0,0,0
0008_sgRNA_140,rank04,0,0,0,0
0008_sgRNA_140,rank05,0,0,0,0
0009_sgRNA_141,rank01,1,0,0,0
0009_sgRNA_141,rank02,1,0,0,0
0009_sgRNA_141,rank03,1,0,0,0
0009_sgRNA_141,rank04,0,0,0,0
0009_sgRNA_141,rank05,0,0,0,0
