sequence_id,length,num_reps,status,source_dir,source_zip
sgRNA_1,104,7,ok,workdirs/sgRNA_1,workdirs/sgRNA_1/results.zip
sgRNA_2,104,8,ok,workdirs/sgRNA_2,workdirs/sgRNA_2/results.zip
sgRNA_3,104,12,ok,workdirs/sgRNA_3,workdirs/sgRNA_3/results.zip
sgRNA_4,104,7,ok,workdirs/sgRNA_4,workdirs/sgRNA_4/results.zip
sgRNA_5,104,17,ok,workdirs/sgRNA_5,workdirs/sgRNA_5/results.zip
sgRNA_6,104,10,ok,workdirs/sgRNA_6,workdirs/sgRNA_6/results.zip
sgRNA_7,104,11,ok,workdirs/sgRNA_7,workdirs/sgRNA_7/results.zip
sgRNA_8,104,8,ok,workdirs/sgRNA_8,workdirs/sgRNA_8/results.zip
sgRNA_9,104,10,ok,workdirs/sgRNA_9,workdirs/sgRNA_9/results.zip
sgRNA_10,104,8,ok,workdirs/sgRNA_10,workdirs/sgRNA_10/results.zip
sgRNA_11,104,7,ok,workdirs/sgRNA_11,workdirs/sgRNA_11/results.zip
sgRNA_12,104,10,ok,workdirs/sgRNA_12,workdirs/sgRNA_12/results.zip
sgRNA_13,104,6,ok,workdirs/sgRNA_13,workdirs/sgRNA_13/results.zip
sgRNA_14,104,11,ok,workdirs/sgRNA_14,workdirs/sgRNA_14/results.zip
sgRNA_15,104,9,ok,workdirs/sgRNA_15,workdirs/sgRNA_15/results.zip
sgRNA_16,104,12,ok,workdirs/sgRNA_16,workdirs/sgRNA_16/results.zip
sgRNA_17,104,15,ok,workdirs/sgRNA_17,workdirs/sgRNA_17/results.zip
sgRNA_18,104,8,ok,workdirs/sgRNA_18,workdirs/sgRNA_18/results.zip
sgRNA_19,104,12,ok,workdirs/sgRNA_19,workdirs/sgRNA_19/results.zip
sgRNA_20,104,9,ok,workdirs/sgRNA_20,workdirs/sgRNA_20/results.zip
sgRNA_21,104,11,ok,workdirs/sgRNA_21,workdirs/sgRNA_21/results.zip
sgRNA_22,104,15,ok,workdirs/sgRNA_22,workdirs/sgRNA_22/results.zip
sgRNA_23,104,15,ok,workdirs/sgRNA_23,workdirs/sgRNA_23/results.zip
sgRNA_24,104,10,ok,workdirs/sgRNA_24,workdirs/sgRNA_24/results.zip
sgRNA_25,104,13,ok,workdirs/sgRNA_25,workdirs/sgRNA_25/results.zip
sgRNA_26,104,10,ok,workdirs/sgRNA_26,workdirs/sgRNA_26/results.zip
sgRNA_27,104,14,ok,workdirs/sgRNA_27,workdirs/sgRNA_27/results.zip
sgRNA_28,104,6,ok,workdirs/sgRNA_28,workdirs/sgRNA_28/results.zip
sgRNA_29,104,7,ok,workdirs/sgRNA_29,workdirs/sgRNA_29/results.zip
sgRNA_30,104,13,ok,workdirs/sgRNA_30,workdirs/sgRNA_30/results.zip
sgRNA_31,104,8,ok,workdirs/sgRNA_31,workdirs/sgRNA_31/results.zip
sgRNA_32,104,12,ok,workdirs/sgRNA_32,workdirs/sgRNA_32/results.zip
sgRNA_33,104,10,ok,workdirs/sgRNA_33,workdirs/sgRNA_33/results.zip
sgRNA_34,104,11,ok,workdirs/sgRNA_34,workdirs/sgRNA_34/results.zip
sgRNA_35,104,13,ok,workdirs/sgRNA_35,workdirs/sgRNA_35/results.zip
sgRNA_36,104,9,ok,workdirs/sgRNA_36,workdirs/sgRNA_36/results.zip
sgRNA_37,104,7,ok,workdirs/sgRNA_37,workdirs/sgRNA_37/results.zip
sgRNA_38,104,9,ok,workdirs/sgRNA_38,workdirs/sgRNA_38/results.zip
sgRNA_39,104,6,ok,workdirs/sgRNA_39,workdirs/sgRNA_39/results.zip
sgRNA_40,104,7,ok,workdirs/sgRNA_40,workdirs/sgRNA_40/results.zip
sgRNA_41,104,13,ok,workdirs/sgRNA_41,workdirs/sgRNA_41/results.zip
sgRNA_42,104,6,ok,workdirs/sgRNA_42,workdirs/sgRNA_42/results.zip
sgRNA_43,104,13,ok,workdirs/sgRNA_43,workdirs/sgRNA_43/results.zip
sgRNA_44,104,7,ok,workdirs/sgRNA_44,workdirs/sgRNA_44/results.zip
sgRNA_45,104,9,ok,workdirs/sgRNA_45,workdirs/sgRNA_45/results.zip
sgRNA_46,104,12,ok,workdirs/sgRNA_46,workdirs/sgRNA_46/results.zip
sgRNA_47,104,11,ok,workdirs/sgRNA_47,workdirs/sgRNA_47/results.zip
sgRNA_48,104,7,ok,workdirs/sgRNA_48,workdirs/sgRNA_48/results.zip
sgRNA_49,104,11,ok,workdirs/sgRNA_49,workdirs/sgRNA_49/results.zip
sgRNA_50,104,9,ok,workdirs/sgRNA_50,workdirs/sgRNA_50/results.zip
sgRNA_51,104,12,ok,workdirs/sgRNA_51,workdirs/sgRNA_51/results.zip
sgRNA_52,104,11,ok,workdirs/sgRNA_52,workdirs/sgRNA_52/results.zip
sgRNA_53,104,11,ok,workdirs/sgRNA_53,workdirs/sgRNA_53/results.zip
sgRNA_54,104,13,ok,workdirs/sgRNA_54,workdirs/sgRNA_54/results.zip
sgRNA_55,104,13,ok,workdirs/sgRNA_55,workdirs/sgRNA_55/results.zip
sgRNA_56,104,13,ok,workdirs/sgRNA_56,workdirs/sgRNA_56/results.zip
sgRNA_57,104,9,ok,workdirs/sgRNA_57,workdirs/sgRNA_57/results.zip
sgRNA_58,104,11,ok,workdirs/sgRNA_58,workdirs/sgRNA_58/results.zip
sgRNA_59,104,10,ok,workdirs/sgRNA_59,workdirs/sgRNA_59/results.zip
sgRNA_60,104,12,ok,workdirs/sgRNA_60,workdirs/sgRNA_60/results.zip
sgRNA_61,104,13,ok,workdirs/sgRNA_61,workdirs/sgRNA_61/results.zip
sgRNA_62,104,8,ok,workdirs/sgRNA_62,workdirs/sgRNA_62/results.zip
sgRNA_63,104,10,ok,workdirs/sgRNA_63,workdirs/sgRNA_63/results.zip
sgRNA_64,104,7,ok,workdirs/sgRNA_64,workdirs/sgRNA_64/results.zip
sgRNA_65,104,8,ok,workdirs/sgRNA_65,workdirs/sgRNA_65/results.zip
sgRNA_66,104,11,ok,workdirs/sgRNA_66,workdirs/sgRNA_66/results.zip
sgRNA_67,104,8,ok,workdirs/sgRNA_67,workdirs/sgRNA_67/results.zip
sgRNA_68,104,14,ok,workdirs/sgRNA_68,workdirs/sgRNA_68/results.zip
sgRNA_69,104,9,ok,workdirs/sgRNA_69,workdirs/sgRNA_69/results.zip
sgRNA_70,104,15,ok,workdirs/sgRNA_70,workdirs/sgRNA_70/results.zip
sgRNA_71,104,8,ok,workdirs/sgRNA_71,workdirs/sgRNA_71/results.zip
sgRNA_72,104,8,ok,workdirs/sgRNA_72,workdirs/sgRNA_72/results.zip
